genus,higher_taxon
Opsiconidion,Brachiopod
Sibirirhynchia,Brachiopod
Ivdelinia,Brachiopod
Undatrypa,Brachiopod
Janius,Brachiopod
Terebratulina,Brachiopod
Isorthis (Ovalella),Brachiopod
Amphistrophia (Amphistrophiella),Brachiopod
Mesopholidostrophia,Brachiopod
Macropleura,Brachiopod
Leptelloidea,Brachiopod
Dicoelosia biloba,Brachiopod
Spinatrypa (Invertrypa) talis,Brachiopod
Cyrtinoides septata,Brachiopod
Pentamerella wintereri,Brachiopod
Komiella magnasulca,Brachiopod
Spinatrypina recula,Brachiopod
Quadrithyris vijaicus,Brachiopod
Echinocoelia denayensis,Brachiopod
Rhipidothyris,Brachiopod
Nemesa,Brachiopod
Warrenella kirki,Brachiopod
Desatrypa,Brachiopod
Gypidulina,Brachiopod
Davidsonia,Brachiopod
Ilmenia,Brachiopod
Enantiosphenella,Brachiopod
Droharhynchia,Brachiopod
Parastringocephalus,Brachiopod
Cincinnetina meeki,Brachiopod
Dinorthis carleyi,Brachiopod
Platystrophia cypha,Brachiopod
Strophomena concordensis,Brachiopod
Trematis millepunctata,Brachiopod
Hesperorthis tricenaria,Brachiopod
Pionodema subaequata,Brachiopod
Strophomena filitexta,Brachiopod
Strophomena incurvata,Brachiopod
Glyptorthis bellarugosa,Brachiopod
Fascifera stonensis,Brachiopod
Dactylogonia incrassata,Brachiopod
Hesperorthis australis,Brachiopod
Ancistrorhyncha costata,Brachiopod
Rostricellula orientalis,Brachiopod
Mimella borealis,Brachiopod
Sowerbyella lebanonensis,Brachiopod
Dinorthis pectinella,Brachiopod
Heterorthis,Brachiopod
Dalmanella fertilis,Brachiopod
Rhynchotrema increbescens,Brachiopod
Platystrophia extensa,Brachiopod
Hebertella frankfortensis,Brachiopod
Dalmanella bassleri,Brachiopod
Argyrotheca,Brachiopod
Probolarina holmesi,Brachiopod
Probolarina salpinx,Brachiopod
Plicatoria wilmingtonensis,Brachiopod
Platystrophia amoena,Brachiopod
Platystrophia elegantula,Brachiopod
Platystrophia colbiensis,Brachiopod
Platystrophia laticosta,Brachiopod
Strophomena planoconvexa,Brachiopod
Strophomena vetusta,Brachiopod
Tetraphalerella planodorsata,Brachiopod
Plectambonites sericeus,Brachiopod
Megamyonia unicostata,Brachiopod
Platystrophia acutilirata,Brachiopod
Lepidocyclus manniensis,Brachiopod
Rhynchotrema perlamellosum,Brachiopod
Craniscus,Brachiopod
Gryphus,Brachiopod
Derbyoides,Brachiopod
Productus parvus,Brachiopod
Echinoconchus elegans,Brachiopod
Productus (Diaphragmus) fasciculatus,Brachiopod
Spirifer opimus,Brachiopod
Acanthospirina,Brachiopod
Composita rotunda,Brachiopod
Productina sampsoni,Brachiopod
Magnumbonella,Brachiopod
Avonia honeycreekensis,Brachiopod
Rhytiophora blairi,Brachiopod
Crurithyris parva,Brachiopod
Prospira,Brachiopod
Breileenia,Brachiopod
Geniculifera,Brachiopod
Scutepustula,Brachiopod
Rhipidomella diminutiva,Brachiopod
Coledium,Brachiopod
Rowleyella,Brachiopod
Lamellosathyris,Brachiopod
Crinisarina,Brachiopod
Eomartiniopsis,Brachiopod
Punctothyris,Brachiopod
Mesochorispira grimesi,Brachiopod
Fernglenia,Brachiopod
Tegulocrea,Brachiopod
Leptaena cooperi,Brachiopod
Dorsisinus,Brachiopod
Cyrtina burlingtonensis,Brachiopod
Punctospirifer transversus,Brachiopod
Cranaena circularis,Brachiopod
Anthracospirifer curvilateralis,Brachiopod
Orbiculoidea interlineata,Brachiopod
Echinoconchus alternatus,Brachiopod
Neospirifer praenuntius,Brachiopod
Schizophoria depressa,Brachiopod
Antiquatonia pernodosa,Brachiopod
Eolissochonetes pseudoliratus,Brachiopod
