genus,higher_taxon
Avellana,Gastropod
Xenophora (Endoptygma) leprosa,Gastropod
Pyrifusus,Gastropod
Anchura halberdopsis,Gastropod
Anchura (Helicaulax) popenoei,Gastropod
Anchura callosa,Gastropod
Aglaoglypta,Gastropod
Orecopia mccoyi,Gastropod
Lowenstamia cucullata,Gastropod
Turritella trilira,Gastropod
Graciliala,Gastropod
Lowenstamia liratus,Gastropod
Bizarrus abnormalis,Gastropod
Stantonella interrupta,Gastropod
Trobus,Gastropod
Turritella (Sohlitella) bilira,Gastropod
Volutomorpha aspera,Gastropod
Acirsa (Plesioacirsa) implexa,Gastropod
Amuletum (Amuletum) dumasensis,Gastropod
Ataphrus,Gastropod
Caveola,Gastropod
Cerithium weeksi,Gastropod
Crucibulum,Gastropod
Deussenia bellalirata,Gastropod
Drilluta,Gastropod
Ecphora,Gastropod
Gyrodes (Sohlella) spillmani,Gastropod
Gyrodes (Gyrodes) supraplicatus,Gastropod
Laxispira monilifera,Gastropod
Paladmete cancellaria,Gastropod
Paladmete gardnerae,Gastropod
Paladmete laevis,Gastropod
Polinices kummeli,Gastropod
Ringicula (Ringiculella) clarki,Gastropod
Sargana,Gastropod
Urceolabrum,Gastropod
Morea marylandica,Gastropod
Ringicula (Ringicula) pulchella,Gastropod
Sargana stantoni,Gastropod
Cerithiella semirugatum,Gastropod
Liopeplum cretaceum,Gastropod
Striaticostatum harbisoni,Gastropod
Liopeplum,Gastropod
Epitonium sillimani,Gastropod
Bellifusus curvicostatus,Gastropod
Calliomphalus microcancelli,Gastropod
Ringicula (Ringicula),Gastropod
Acirsa (Plesioacirsa) microstriata,Gastropod
Beretra ripleyana,Gastropod
Deussenia,Gastropod
Stantonella,Gastropod
Hydrotribulus,Gastropod
Liopeplum nodosum,Gastropod
Longoconcha,Gastropod
Pugnellus,Gastropod
Buccinopsis,Gastropod
Latiala lobata,Gastropod
Buccinopsis solida,Gastropod
Liopeplum leioderma,Gastropod
Weeksia,Gastropod
Napulus fragilis,Gastropod
Ancillus acutula,Gastropod
Bellifusus spinosus,Gastropod
Buccinopsis crassicostata,Gastropod
Cylichna incisa,Gastropod
Dircella,Gastropod
Dolicholatirus,Gastropod
Ellipsoscapha cylindrica,Gastropod
Fusimilis tippanus,Gastropod
Gemmula cretacea,Gastropod
Graciliala decemlirata,Gastropod
Helicaulax,Gastropod
Hercorhyncus (Hercorhyncus) pagodaformis,Gastropod
Liopeplum canalis,Gastropod
Parafusus saffordi,Gastropod
Teinostoma (Idioraphe) prenanum,Gastropod
Solariorbis clara,Gastropod
Thylacus cretaceus,Gastropod
Volutomorpha retifera,Gastropod
Caveola acuta,Gastropod
Cylichna diversilirata,Gastropod
Drilluta lemniscata,Gastropod
Anomalofusus lemniscatus,Gastropod
Napulus octoliratus,Gastropod
Pyrifusus subdensatus,Gastropod
Hercorhynchus,Gastropod
Liopeplum rugosum,Gastropod
Creonella subangulata,Gastropod
Drilluta buboanus,Gastropod
Eoacteon linteus,Gastropod
Fusimilis novemcostatus,Gastropod
Graphidula multicostata,Gastropod
Longoconcha dalli,Gastropod
Morea transenna,Gastropod
Pachymelania,Gastropod
Remnita anomalocostata,Gastropod
Anteglossia,Gastropod
Bulla,Gastropod
Ellipsoscapha mortoni,Gastropod
Eoharpa sinuosa,Gastropod
Eulima clara,Gastropod
Eulima gracilistylis,Gastropod
Mathilda (Echinimathilda) corona,Gastropod
Myobarbum laevigatum,Gastropod
Neritina,Gastropod
Ornopsis (Pornosis) modica,Gastropod
Piestochilus curviliratus,Gastropod
Pseudomalaxis pateriformis,Gastropod
Pterocerella,Gastropod
Pyropsis prolixa,Gastropod
Remera flexicostata,Gastropod
Lowenstamia,Gastropod
Striaticostatum sparsum,Gastropod
Ornopsis (Pornosis),Gastropod
Margaritella,Gastropod
Lupira,Gastropod
Ornopsis,Gastropod
Striaticostatum asperum,Gastropod
Fusimilis,Gastropod
Striaticostatum congestum,Gastropod
Amaurellina,Gastropod
Eoacteon,Gastropod
Morea,Gastropod
Laxispira,Gastropod
Creonella,Gastropod
Striaticostatum,Gastropod
Goniocylichna,Gastropod
Medionapus,Gastropod
Mathilda ripleyana,Gastropod
Mathilda cedarensis,Gastropod
Beretra,Gastropod
Ampullina (Pseudamaura),Gastropod
Cypraea,Gastropod
Belliscala,Gastropod
Charonia,Gastropod
Volutomorpha mutabilis,Gastropod
Cylindrotruncatum,Gastropod
Remnita,Gastropod
Mataxa,Gastropod
Acmaea,Gastropod
Amuletum,Gastropod
Sulcoretusa (Moniloretusa),Gastropod
Turboella,Gastropod
Rissoina tennesseensis,Gastropod
Fulgerca attenuata,Gastropod
Loxotoma,Gastropod
Cerithiella nodoliratum,Gastropod
Remera,Gastropod
Hercorhyncus (Hercorhyncus) tippanus,Gastropod
Drilluta major,Gastropod
Fusinus macnairyensis,Gastropod
Morea rotunda,Gastropod
Ptychosyca inornata,Gastropod
Pyropsis perlata,Gastropod
Rhombopsis,Gastropod
Acirsa (Hemiacirsa),Gastropod
Tintorium,Gastropod
Schizobasis,Gastropod
Creonella triplicata,Gastropod
Cylichnella,Gastropod
Fulgerca,Gastropod
Myobarbum,Gastropod
Promathilda (Clathrobaculus) parvula,Gastropod
Aciculiscala acuta,Gastropod
Zikkuratia tabanneensis,Gastropod
Ringicula culbertsoni,Gastropod
Seila,Gastropod
Acirsa (Plesioacirsa),Gastropod
Lacrimiforma,Gastropod
Promathildia,Gastropod
Acrilla,Gastropod
Nozeba,Gastropod
Graphidula terebriformis,Gastropod
Acirsa (Hemiacirsa) americana,Gastropod
Goniocylichna elongata,Gastropod
Parafusus,Gastropod
Scobinidola,Gastropod
Amauropsis,Gastropod
Drilluta distans,Gastropod
Gemmula,Gastropod
Micreschara,Gastropod
Troostella,Gastropod
Volvulella,Gastropod
Aliofusus,Gastropod
Bellifusus angulicostatus,Gastropod
Lacrimiforma secunda,Gastropod
Banis siniformis,Gastropod
Odontobasis,Gastropod
Rissoa,Gastropod
Scobinidola guttatus,Gastropod
Morea cancellaria,Gastropod
Pyrifusus crassus,Gastropod
Amuletum fasciolatum,Gastropod
Beretra gracilis,Gastropod
Latiaxis,Gastropod
Odontobasis sulcata,Gastropod
Remnita biacuminata,Gastropod
Remnita hastata,Gastropod
Paleofusimitra,Gastropod
Fusinus,Gastropod
Eulima laevigata,Gastropod
Megalomphalus,Gastropod
Oligoptycha americana,Gastropod
Piestochilus levis,Gastropod
Lomirosa,Gastropod
Striaticostatum bexarense,Gastropod
Banis,Gastropod
Natica dorothiensis,Gastropod
Voysa,Gastropod
Pyrgulifera,Gastropod
Hillites,Gastropod
Craginia,Gastropod
Hemicerithium,Gastropod
Nerita ornata,Gastropod
Gymnentome,Gastropod
Pirsila decora,Gastropod
Pirsila tensa,Gastropod
Confusiscala,Gastropod
Carota,Gastropod
Fictoacteon,Gastropod
Pirsila simpla,Gastropod
Provanna,Gastropod
Architectonica fungina,Gastropod
Galeodea,Gastropod
Semicassis,Gastropod
Ficus harrisi,Gastropod
Ficus mississippiensis,Gastropod
Cymatium,Gastropod
Distorsio (Distorsio),Gastropod
Oocorys,Gastropod
Dermomurex (Viator) sexangulus,Gastropod
Streptochetus,Gastropod
Lyria (Lyria),Gastropod
Agatrix,Gastropod
Terebra,Gastropod
Clavidrupa,Gastropod
Megathura,Gastropod
Patelloida tejonensis,Gastropod
